k_wpos	ko_pospat	ko	en	en_semantic_tags	category	note
결제되/VV	VV	결제되	paid	I1.1 | I1.2 A9- I1.1/I3.1	MONEY & COMMERCE	연결
기계적/NNG	NNG	기계적	mechanically	O2	SUBSTANCES, MATERIALS, OBJECTS & EQUIPMENT	연결
조이__88/NNG	NNG	조이__88	Joey	Z1m	NAMES & GRAMMATICAL WORDS	연결
함유하__01/VV	VV	함유하__01	contain	A1.8+ A1.7+	GENERAL & ABSTRACT TERMS	연결
항공/NNG	NNG	항공	Jet	Z3c	NAMES & GRAMMATICAL WORDS	연결
반응하/VV	VV	반응하	reacts	A1.1.1 A6.1- B2- Y1	GENERAL & ABSTRACT TERMS	연결
유산__07/NNG	NNG	유산__07	heritages	A9+/S1.1.1 T1.1.1	GENERAL & ABSTRACT TERMS	연결
의뢰/NNG	NNG	의뢰	commissioned	I2.2 G3/S7.1+	MONEY & COMMERCE	연결
개도국/NNG	NNG	개도국	countries	M7	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
넘쳐나/VV	VV	넘쳐나	full	N5.1+ | N5.1+ I3.2+	NUMBERS & MEASUREMENT	연결
메디컬/NNG	NNG	메디컬	Medical	B3	THE BODY & THE INDIVIDUAL	연결
청원자/NNG	NNG	청원자	petitioner			미연결
만나/VV	VV	만나	See	S9/M7	SOCIAL ACTIONS, STATES & PROCESSES	연결
전신__01/NNG	NNG	전신__01	body	B1 O2 S5+c O4.1 S2mf	THE BODY & THE INDIVIDUAL	연결
살피__01/VV	VV	살피__01	looked	A8 X3.4 X2.4 X7+	GENERAL & ABSTRACT TERMS	연결
납치되/VV	VV	납치되	kidnapped	G2.1-	GOVT. & THE PUBLIC DOMAIN	연결
바뀌/VV	VV	바뀌	turns	M2 M1 O4.4 A1.1.1 A2.1+ O4.2-	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
협상력/NNG	NNG	협상력	power	A1.1.1 | S7.1+ O3 S1.2.5+ N2@	GENERAL & ABSTRACT TERMS	연결
쫓/VV	VV	쫓	chasing	M1 | M1 X7+ X2.4	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
울분/NNG	NNG	울분	anger	E3-	EMOTIONAL ACTIONS, STATES & PROCESSES	연결
반바지/NNG	NNG	반바지	shorts	B5 Q4.3 F2 O3 | O3	THE BODY & THE INDIVIDUAL	연결
실효__02/NNG	NNG	실효__02	effective	X9.2+	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
부식__09/NNG	NNG	부식__09	corrosion	A1.1.2	GENERAL & ABSTRACT TERMS	연결
전환사채/NNG	NNG	전환사채	convertible	A2.1+ | M3fn	GENERAL & ABSTRACT TERMS	연결
카르텔/NNG	NNG	카르텔	Cartel	I2.1/S5+c	MONEY & COMMERCE	연결
분유__04/NNG	NNG	분유__04	milk	F2 O1.2 | F4 A9+	FOOD & FARMING	연결
길__01/NNG	NNG	길__01	journey	M1	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
관장__11/NNG	NNG	관장__11	agency	I2.2/S5+c G1.1c	MONEY & COMMERCE	연결
거행되/VV	VV	거행되	held	M2 A1.1.1 A9+ X2.1 S7.1+/A1.7+	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
회복하/VV	VV	회복하	restored	A2.1+ C1 A9-	GENERAL & ABSTRACT TERMS	연결
의원__05/NNG	NNG	의원__05	senator	G1.2/S2mf	GOVT. & THE PUBLIC DOMAIN	연결
수용성__01/NNG	NNG	수용성__01	acceptability	A5.1	GENERAL & ABSTRACT TERMS	연결
한도액/NNG	NNG	한도액	limit	A1.7+ | N5.1 A1.7+ M7	GENERAL & ABSTRACT TERMS	연결
부산물/NNG	NNG	부산물	by-products			미연결
수확하/VV	VV	수확하	harvesting	F4 A9+	FOOD & FARMING	연결
창조성/NNG	NNG	창조성	creativity	X2.1/A6.2-	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
빡빡하/VA	VA	빡빡하	tight	A1.7+ | B5 | N3.2- A1.7+ N5+ O4.4 S5+ A12- F2+ S1.2.2+	GENERAL & ABSTRACT TERMS	연결
의도적/NNG	NNG	의도적	deliberately	X7+ A1.3+	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
놀이__01/NNG	NNG	놀이__01	playing	K1 K5.1 K5.2 K2 K3 A1.1.1 K6	ENTERTAINMENT, SPORTS & GAMES	연결
급격히/MAG	MAG	급격히	drastically	A13.2	GENERAL & ABSTRACT TERMS	연결
선물하/VV	VV	선물하	presents	A9- A2.2 Q2.2 S1.1.3+ Q4.3 O4.1 K4 | T1.1.2 A3+ | T1.1.2 A9-	GENERAL & ABSTRACT TERMS	연결
다가가/VV	VV	다가가	approached	M1 | M1 A1.1.1 Q2.2	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
예보하/VV	VV	예보하	forecast	Q2.2/T1.1.3 X2.6+	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
깨__02/VV	VV	깨__02	breaks	A1.1.2 A1.1.1 A1.9 S5- T2- E4.1-/A2.2 A2.1+ T1.3 Q2.1@ | K1/T1.3 T2- O2 A1.4 A1.1.2	GENERAL & ABSTRACT TERMS	연결
협업하/VV	VV	협업하	collaborating	S1.1.3+ S8+	SOCIAL ACTIONS, STATES & PROCESSES	연결
맞물리/VV	VV	맞물리	conjunction	Q3 T1.1.2 S5+	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
청각장애인/NNG	NNG	청각장애인	deaf	X3.2-	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
관련성/NNG	NNG	관련성	connection	A2.2 S5+ M3 O3 A1.1.1	GENERAL & ABSTRACT TERMS	연결
유__88/NNG	NNG	유__88	Uplus			미연결
장__25/NNG	NNG	장__25	Chapter	Q4.1 T1.3 S9/S5c S5+c	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
다르__01/VA	VA	다르__01	differed	A6.1-	GENERAL & ABSTRACT TERMS	연결
개막작/NNG	NNG	개막작	opening	A1.1.1 T2+ | A1.1.1 T2+ O2 I3.1	GENERAL & ABSTRACT TERMS	연결
농성__03/NNG	NNG	농성__03	sit-in			미연결
안내__01/NNG	NNG	안내__01	guided	S8+	SOCIAL ACTIONS, STATES & PROCESSES	연결
문화제/NNG	NNG	문화제	Culture	C1 S1.1.1 S5+ L1 | L1	ARTS & CRAFTS	연결
견학/NNG	NNG	견학	trips	M1 F3% | M1 M2 S8-	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
예쁘/VA	VA	예쁘	nice	O4.2+ S1.2.1+	SUBSTANCES, MATERIALS, OBJECTS & EQUIPMENT	연결
격렬하/VA	VA	격렬하	intense	N5+	NUMBERS & MEASUREMENT	연결
흥분/NNG	NNG	흥분	excitement	X5.2+	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
완화__02/NNG	NNG	완화__02	relief	E4.1+ A1.7- S8+ G3 B3 I1.1 I3.1/S2mf C1%	EMOTIONAL ACTIONS, STATES & PROCESSES	연결
조세__05/NNG	NNG	조세__05	taxation	I1.1/G1.1	MONEY & COMMERCE	연결
실행하__02/VV	VV	실행하__02	implemented	A1.1.1 A9-/O2	GENERAL & ABSTRACT TERMS	연결
민호/NNG	NNG	민호	Minho			미연결
체크/NNG	NNG	체크	checking	I1 | X2.4/A5.3 A15 Q1.2 T2- M5	MONEY & COMMERCE	연결
맞대/VV	VV	맞대	together	S1.2.6+ | S5+ T1.1.2 M6	SOCIAL ACTIONS, STATES & PROCESSES	연결
철수하/VV	VV	철수하	withdrawn	M2 M1 S1.1.3- A2.1+ | S1.2.1-	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
매달리/VV	VV	매달리	hanging	M2 M1 M8 G2.1 | M2 M1 M8 G2.1 S7.1-	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
기념관/NNG	NNG	기념관	Hall	H2 H1 S9/H1c	ARCHITECTURE, BUILDINGS, HOUSES & THE HOME	연결
응답하/VV	VV	응답하	respondents	Q2.2/S2mf G2.1/S2mf	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
의미심장하/VA	VA	의미심장하	significant	A11.1+ N5+	GENERAL & ABSTRACT TERMS	연결
방영되/VV	VV	방영되	broadcasted	Q4.3	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
구현하__03/VV	VV	구현하__03	implements	A1.1.1 A9-/O2 | O2	GENERAL & ABSTRACT TERMS	연결
형성__01/NNG	NNG	형성__01	build	B1/O4.4 | H1 A1.1.1 A5.1+/A2.1 N3.2+/A2.1	THE BODY & THE INDIVIDUAL	연결
되묻__03/VV	VV	되묻__03	asked	Q2.2	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
등교하/VV	VV	등교하	school	P1 | P1/H1c S5+c L2%c	EDUCATION	연결
비영리/NNG	NNG	비영리	nonprofit			미연결
개편__01/NNG	NNG	개편__01	reorganize	A2.1+	GENERAL & ABSTRACT TERMS	연결
정서__06/NNG	NNG	정서__06	emotional	E1	EMOTIONAL ACTIONS, STATES & PROCESSES	연결
북__08/NNG	NNG	북__08	North	M6	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
전역__01/NNG	NNG	전역__01	whole	N5.1+	NUMBERS & MEASUREMENT	연결
꿀/NNG	NNG	꿀	honey	F1	FOOD & FARMING	연결
북적거리__01/VV	VV	북적거리__01	crowded	S5+++ A1.1.1/N5+	SOCIAL ACTIONS, STATES & PROCESSES	연결
생성/NNG	NNG	생성	generation	T1.3 S5+c	TIME	연결
승용차/NNG	NNG	승용차	passenger	M3/S2mf M4/S2mf M5/S2mf	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
평당/NNG	NNG	평당	per	Z5	NAMES & GRAMMATICAL WORDS	연결
의사__12/NNG	NNG	의사__12	physician	B3/S2mf	THE BODY & THE INDIVIDUAL	연결
압력/NNG	NNG	압력	pressures	N3.5 S7.1+ E6- | S7.1+ E6-	NUMBERS & MEASUREMENT	연결
망가지/VV	VV	망가지	damaged	A1.1.2	GENERAL & ABSTRACT TERMS	연결
왕복/NNG	NNG	왕복	round-trip			미연결
상대__04/NNG	NNG	상대__04	counterpart	A6.1+/S2mf	GENERAL & ABSTRACT TERMS	연결
나타내/VV	VV	나타내	express	A4.2+ | A4.2+ N3.8+++ | M3/N3.8+fn | Q1.1 B1% | Z3c	GENERAL & ABSTRACT TERMS	연결
문제의식/NNG	NNG	문제의식	problem	A12- | A12- X4.1 N2 B2-	GENERAL & ABSTRACT TERMS	연결
친하/VA	VA	친하	familiar	A6.2+ S1.2.1+ | S9	GENERAL & ABSTRACT TERMS	연결
추계__03/NNG	NNG	추계__03	estimate	X6/A7- N2/A7- | X6/A7- N2/A7- I2.1/Q1.2	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
극대화되/VV	VV	극대화되	maximized	N5.1+	NUMBERS & MEASUREMENT	연결
웃기/VV	VV	웃기	laugh	E4.1+/X3.2	EMOTIONAL ACTIONS, STATES & PROCESSES	연결
재사용/NNG	NNG	재사용	reuse	A1.5.1/N6+	GENERAL & ABSTRACT TERMS	연결
제기되/VV	VV	제기되	raises	M2 N5+/A2.1 A5.1+/A2.1 X3.2++ A9+ A1.1.1 A2.2 S1.1.1 F4 Q2.2 S4 | N5+/A2.1	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
담__01/VV	VV	담__01	putting	M2 Q2.1 Q2.2 A1.1.1 | M2 Q2.1 Q2.2 A1.1.1 K5.1	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
예약되/VV	VV	예약되	reserved	A9+ S1.2.1-	GENERAL & ABSTRACT TERMS	연결
보은__01/NNG	NNG	보은__01	Boeun			미연결
통제__02/NNG	NNG	통제__02	controlling	S7.1+ A1.7+	SOCIAL ACTIONS, STATES & PROCESSES	연결
오영식/NNP	NNP	오영식	Oh	Z4	NAMES & GRAMMATICAL WORDS	연결
스파크__03/NNG	NNG	스파크__03	Spark	O4.6+ O3 A2.2 | O4.6+ O3 N5- X5.2+ S2@mf	SUBSTANCES, MATERIALS, OBJECTS & EQUIPMENT	연결
리터/NNG	NNG	리터	liter			미연결
금강산/NNP	NNP	금강산	Kaesong			미연결
국민일보/NNP	NNP	국민일보	Kookmin			미연결
투호/NNG	NNG	투호	Tuho			미연결
대두되/VV	VV	대두되	emerged	M1 A10+ A1.1.1	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
작__01/VA	VA	작__01	minor	A11.1- N3.2- | P1 | T3-/S2mf	GENERAL & ABSTRACT TERMS	연결
신념__01/NNG	NNG	신념__01	faith	E6+ S9 X2.1	EMOTIONAL ACTIONS, STATES & PROCESSES	연결
사유지/NNG	NNG	사유지	private	A10- S5- G1.1- | G3/S2mf B1	GENERAL & ABSTRACT TERMS	연결
시작하__01/VV	VV	시작하__01	commence	T2+	TIME	연결
뿌리내리/VV	VV	뿌리내리	root	L3 B1 A2.2 S4 A11.1+ Q3 N2 | L3 X2.4	LIFE & LIVING THINGS	연결
윤지/NNP	NNP	윤지	Yoon			미연결
보유하__01/VV	VV	보유하__01	possess	A9+ E1 S9%	GENERAL & ABSTRACT TERMS	연결
적법성/NNG	NNG	적법성	legality	G2.1+	GOVT. & THE PUBLIC DOMAIN	연결
조선일보/NNP	NNP	조선일보	Ilbo			미연결
상속세/NNG	NNG	상속세	inheritance	A9+/S4 A9+/N4	GENERAL & ABSTRACT TERMS	연결
혹시__01/MAG	MAG	혹시__01	Does	A1.1.1 G2.2- X9.2+ E3- G2.1% Z5	GENERAL & ABSTRACT TERMS	연결
구현__04/NNG	NNG	구현__04	realize	X2.5+ X9.2+	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
성격__02/NNG	NNG	성격__02	characteristic	A6.2+ A4.2+ | O4.1 A4.2+ N2	GENERAL & ABSTRACT TERMS	연결
대학가/NNG	NNG	대학가	university	P1/H1c	EDUCATION	연결
흘러나오/VV	VV	흘러나오	flows	M4 M1 | M4 M1 N5 | Z2	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
선수촌/NNG	NNG	선수촌	village	M7	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
상고법원/NNG	NNG	상고법원	Court	G2.1 H3 M7/K5.2 | S3.2 X7+	GOVT. & THE PUBLIC DOMAIN	연결
끊/VV	VV	끊	break	A1.1.2 A1.1.1 A1.9 S5- T2- E4.1-/A2.2 A2.1+ T1.3 Q2.1@ | K1/T1.3 T2- O2 A1.4 A1.1.2	GENERAL & ABSTRACT TERMS	연결
정치권/NNG	NNG	정치권	Political	G1.2	GOVT. & THE PUBLIC DOMAIN	연결
천명하__02/VV	VV	천명하__02	declared	Q2.2 K5.1%	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
잠기__02/VV	VV	잠기__02	submerged	M2 M1 X5.1+ | M6	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
상영관/NNG	NNG	상영관	theaters	K4/H1 K4 B3/H2 M7	ENTERTAINMENT, SPORTS & GAMES	연결
달콤하/VA	VA	달콤하	sweetness	X3.1 O4.2+	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
거처__02/NNG	NNG	거처__02	residence	H1 H4	ARCHITECTURE, BUILDINGS, HOUSES & THE HOME	연결
교차로/NNG	NNG	교차로	intersections	M3 A2.2	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
청구되/VV	VV	청구되	sought	X2.4	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
효능/NNG	NNG	효능	effects	A2.2 | A2.2 A8	GENERAL & ABSTRACT TERMS	연결
사법__02/NNG	NNG	사법__02	judiciary	G2.1c	GOVT. & THE PUBLIC DOMAIN	연결
안내하/VV	VV	안내하	informed	X2.2+ X2.4 Q2.1	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
구성하/VV	VV	구성하	constitute	A3+ A1.8+ A1.1.1	GENERAL & ABSTRACT TERMS	연결
철폐__01/NNG	NNG	철폐__01	abolition	T2-	TIME	연결
신경전/NNG	NNG	신경전	war	G3 S7.3	GOVT. & THE PUBLIC DOMAIN	연결
겪/VV	VV	겪	undergoing	A1.1.1	GENERAL & ABSTRACT TERMS	연결
방송되__01/VV	VV	방송되__01	episode	A3+/A11.1+ A6.2- Q4 B2-	GENERAL & ABSTRACT TERMS	연결
웃돌/VV	VV	웃돌	exceeding	N5.2+	NUMBERS & MEASUREMENT	연결
노동청/NNP	NNP	노동청	Labor	A1.1.1 A12- I3.1/S5+ B1 | A1.1.1/A12- A11.1+/N5.2+	GENERAL & ABSTRACT TERMS	연결
잠옷/NNG	NNG	잠옷	pajamas			미연결
오지환/NNP	NNP	오지환	Oh	Z4	NAMES & GRAMMATICAL WORDS	연결
유행어/NNG	NNG	유행어	buzzword	Q3	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
학대하/VV	VV	학대하	abusing	E3- Q2.2 G2.2- A1.5.1/A5.1-	EMOTIONAL ACTIONS, STATES & PROCESSES	연결
방해__01/NNG	NNG	방해__01	disturbed	E6- B2-/X1 | X5.1- A2.1+	EMOTIONAL ACTIONS, STATES & PROCESSES	연결
실린더/NNG	NNG	실린더	cylinder	O4.4 O2	SUBSTANCES, MATERIALS, OBJECTS & EQUIPMENT	연결
일반적/NNG	NNG	일반적	typically	A6.2+ A4.2+	GENERAL & ABSTRACT TERMS	연결
바이오/NNG	NNG	바이오	Electronics	O3	SUBSTANCES, MATERIALS, OBJECTS & EQUIPMENT	연결
달래__01/VV	VV	달래__01	appease	E3+	EMOTIONAL ACTIONS, STATES & PROCESSES	연결
알리/VV	VV	알리	signaling	Q1.1 X4.1 A10+	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
공략__01/NNG	NNG	공략__01	targeting	X7+	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
흘러나오/VV	VV	흘러나오	flowed	M4 M1 | M4 M1 N5 | Z2	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
신문__10/NNG	NNG	신문__10	paper	H5 | Q4.2c O1.1 Q1.2 P1/Q1.2 H5	ARCHITECTURE, BUILDINGS, HOUSES & THE HOME	연결
특별하/VA	VA	특별하	extraordinary	A6.2-	GENERAL & ABSTRACT TERMS	연결
난무하/VV	VV	난무하	rampant	E3-	EMOTIONAL ACTIONS, STATES & PROCESSES	연결
중계__04/NNG	NNG	중계__04	broadcasting	Q4.3	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
권고__03/NNG	NNG	권고__03	advised	Q2.2/S8+ Q2.1/X2.2+	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
관람석/NNG	NNG	관람석	seats	H5 B5 S1.1.3+ S7.1+ M7 | M2 N3.2/H1	ARCHITECTURE, BUILDINGS, HOUSES & THE HOME	연결
상영__01/NNG	NNG	상영__01	screened	A10- Q4.3 X2.4 B3 | Y2 Q4.3 H5 A10-	GENERAL & ABSTRACT TERMS	연결
의뢰/NNG	NNG	의뢰	requested	Q2.2	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
접경지역/NNG	NNG	접경지역	near	M1/N3.3- | N3.3- | N3.3- S3.1 A6.1+ A13.4 T1.3- | Z5	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
원두__88/NNG	NNG	원두__88	beans	F1	FOOD & FARMING	연결
시험__03/NNG	NNG	시험__03	tested	X2.4 P1 B3	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
발굴/NNG	NNG	발굴	excavate	A1.1.1	GENERAL & ABSTRACT TERMS	연결
속하__02/VV	VV	속하__02	includes	A1.8+	GENERAL & ABSTRACT TERMS	연결
분뇨__02/NNG	NNG	분뇨__02	excrement	B1	THE BODY & THE INDIVIDUAL	연결
유망__01/NNG	NNG	유망__01	Promising	A7+/Q2.2 A8 | A7+/X9	GENERAL & ABSTRACT TERMS	연결
긴장감/NNG	NNG	긴장감	tense	A1.7+ | E6- O4.1 | Q3	GENERAL & ABSTRACT TERMS	연결
일간지/NNG	NNG	일간지	newspapers	Q4.2	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
잘못하/VV	VV	잘못하	fault	A5.3- A2.2 W3% | E2-	GENERAL & ABSTRACT TERMS	연결
대__04/NNG	NNG	대__04	University	P1/H1c	EDUCATION	연결
제휴/NNG	NNG	제휴	affiliated	S5+	SOCIAL ACTIONS, STATES & PROCESSES	연결
조__15/NNG	NNG	조__15	Jo	Z1fm	NAMES & GRAMMATICAL WORDS	연결
눈시울/NNG	NNG	눈시울	eyes	B1 X3.4 | X3.4	THE BODY & THE INDIVIDUAL	연결
재순환/NNG	NNG	재순환	recirculation			미연결
정원__03/NNG	NNG	정원__03	gardens	F4 | L3/H3 M7/L3	FOOD & FARMING	연결
상쾌하/VA	VA	상쾌하	refreshing	B2+ A5.1+/A2.1	THE BODY & THE INDIVIDUAL	연결
광복절/NNG	NNG	광복절	Liberation	A1.7-	GENERAL & ABSTRACT TERMS	연결
속도__01/NNG	NNG	속도__01	accelerate	N3.8+/A2.1	NUMBERS & MEASUREMENT	연결
구호__02/NNG	NNG	구호__02	slogans	Q2.1	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
먹이/VV	VV	먹이	fed	F1 A9- S8+ M2@	FOOD & FARMING	연결
예술인/NNG	NNG	예술인	Artists	C1/S2mf K4/S2mf K2/S2mf	ARTS & CRAFTS	연결
상상하__03/VV	VV	상상하__03	imagining	X2.1 A5.2-	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
풍토/NNG	NNG	풍토	climate	W4 A1.1.1 E1	THE WORLD & OUR ENVIRONMENT	연결
희망하/VV	VV	희망하	desired	X7+ S3.2	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
기초연금/NNG	NNG	기초연금	basic	A6.2+ A11.1+ A12+ | Y2 | Y2/Q3	GENERAL & ABSTRACT TERMS	연결
유래하/VV	VV	유래하	originated	T2+	TIME	연결
목표액/NNG	NNG	목표액	target	X7+ | X7+ G3 K5.1 | Z3c	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
경기도의회/NNP	NNP	경기도의회	Assembly	S5+c A9+ A1.1.1	SOCIAL ACTIONS, STATES & PROCESSES	연결
이철우/NNP	NNP	이철우	Lee	Z1mf	NAMES & GRAMMATICAL WORDS	연결
지병/NNG	NNG	지병	disease	B2-	THE BODY & THE INDIVIDUAL	연결
대중화/NNG	NNG	대중화	popularizing			미연결
세이브/NNG	NNG	세이브	saves	I1.1 B3 A9+ S8+ A1.9 K5.1 S9 | K5.1 | Z5	MONEY & COMMERCE	연결
전자발찌/NNG	NNG	전자발찌	electronic	O3 Y2	SUBSTANCES, MATERIALS, OBJECTS & EQUIPMENT	연결
고춧가루/NNG	NNG	고춧가루	red	O4.3 G1.2 | O4.3 G1.2/S2mf	SUBSTANCES, MATERIALS, OBJECTS & EQUIPMENT	연결
예약제/NNG	NNG	예약제	reservation	A7- A9+ M7	GENERAL & ABSTRACT TERMS	연결
메우__02/VV	VV	메우__02	filling	B3 F1 O1 O2 I3.1 Q1.2@ | N5.1+ I3.1 Q1.2@ | N5.1+/F1	THE BODY & THE INDIVIDUAL	연결
정규직/NNG	NNG	정규직	regular	A6.2+ N6+ O4.1 I3.1 T2++ A13.3 | N6+/S2mf G3/S2mf	GENERAL & ABSTRACT TERMS	연결
통역/NNG	NNG	통역	translation	Q3 A2.1+	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
김천시/NNP	NNP	김천시	City	M7/I2.1c Z3c	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
난독증/NNG	NNG	난독증	dyslexia	Q3/B2-	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
조재현/NNP	NNP	조재현	Cho			미연결
편익시설/NNG	NNG	편익시설	facilities	H1 O2 S8+ X9.1+	ARCHITECTURE, BUILDINGS, HOUSES & THE HOME	연결
회의록/NNG	NNG	회의록	executive	I2.1/S2mf G1.1c S7.1+/S5+c | S7.1+	MONEY & COMMERCE	연결
상의하__03/VV	VV	상의하__03	discuss	Q2.1 Q2.2	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
대답/NNG	NNG	대답	answered	Q2.2 | Q2.2 S1.1.1	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
냉랭하/VA	VA	냉랭하	cold	B2- O4.6- | O4.6- S1.2.1- E1- A1.1.1	THE BODY & THE INDIVIDUAL	연결
자유__03/NNG	NNG	자유__03	liberty	A1.7- | Z3c	GENERAL & ABSTRACT TERMS	연결
그렇/VA	VA	그렇	Wrong	A5.3- A5.1- G2.2- B2- | G2.2- | G2.2- A5.3-	GENERAL & ABSTRACT TERMS	연결
수미/NNP	NNP	수미	Sumi			미연결
피에르/NNP	NNP	피에르	Pierre	Z1m	NAMES & GRAMMATICAL WORDS	연결
구조조정/NNG	NNG	구조조정	restructure	S7.1/A2.1	SOCIAL ACTIONS, STATES & PROCESSES	연결
주한미군/NNG	NNG	주한미군	USFK			미연결
생각나/VV	VV	생각나	reminded	X4.1	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
김상식/NNP	NNP	김상식	Kim	Z1mf Z3c	NAMES & GRAMMATICAL WORDS	연결
예멘/NNP	NNP	예멘	Jeju			미연결
혜택/NNG	NNG	혜택	benefited	S8+	SOCIAL ACTIONS, STATES & PROCESSES	연결
주의__07/NNG	NNG	주의__07	cautious	A1.3+ E6-	GENERAL & ABSTRACT TERMS	연결
강남구/NNP	NNP	강남구	District	Z3c	NAMES & GRAMMATICAL WORDS	연결
구현하__03/VV	VV	구현하__03	embodies	Q1.1/A1.6 A1.8+	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
김영광/NNP	NNP	김영광	Kim	Z1mf Z3c	NAMES & GRAMMATICAL WORDS	연결
김혜성/NNP	NNP	김혜성	Kim	Z1mf Z3c	NAMES & GRAMMATICAL WORDS	연결
잔나비__01/NNG	NNG	잔나비__01	Jannabi			미연결
경북/NNP	NNP	경북	Gangwon			미연결
생체/NNG	NNG	생체	biological	L1 B1	LIFE & LIVING THINGS	연결
떠오르/VV	VV	떠오르	rises	N5+/A2.1 N3.2+/A2.1 O4.4	NUMBERS & MEASUREMENT	연결
조사되__02/VV	VV	조사되__02	surveyed	X2.4	PSYCHOLOGICAL ACTIONS, STATES & PROCESSES	연결
맞서/VV	VV	맞서	faced	M6 S1.1.1 X2.1 B5	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
앞당기/VV	VV	앞당기	speed	N3.8+ | N3.8+ F3%	NUMBERS & MEASUREMENT	연결
가명__03/NNG	NNG	가명__03	name	Q2.2	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
일반화되/VV	VV	일반화되	common	A6.2+ N5++ S5+ O4.2- | M7	GENERAL & ABSTRACT TERMS	연결
꼭__03/MAG	MAG	꼭__03	surely	A7+	GENERAL & ABSTRACT TERMS	연결
게재/NNG	NNG	게재	publication	Q4	LINGUISTIC ACTIONS, STATES & PROCESSES	연결
생활방식/NNG	NNG	생활방식	lifestyle	S1.1.1	SOCIAL ACTIONS, STATES & PROCESSES	연결
주거시설/NNG	NNG	주거시설	facilities	H1 O2 S8+ X9.1+	ARCHITECTURE, BUILDINGS, HOUSES & THE HOME	연결
부끄럽/VA	VA	부끄럽	embarrassing	E4.1- E5-	EMOTIONAL ACTIONS, STATES & PROCESSES	연결
발굴하/VV	VV	발굴하	explore	M1 X2.4	MOVEMENT, LOCATION, TRAVEL & TRANSPORT	연결
웨이퍼__02/NNG	NNG	웨이퍼__02	wafer	F1 S9/F1	FOOD & FARMING	연결
무역수지/NNG	NNG	무역수지	trade	I2.2 | I2.2 I2.1 I3.1 I2.2/N5	MONEY & COMMERCE	연결
